user_id,product_id,gender,age,occupation,city_category,stay_in_current_city_years,marital_status,product_category_1,product_category_2,product_category_3,purchase
1000001,P00069042,F,0-17,10,A,2,0,3,,,8370
1000002,P00285442,M,55+,16,C,4+,0,8,,,7969
1000003,P00193542,M,26-35,15,A,3,0,1,2.0,,15227
1000004,P00184942,M,46-50,7,B,2,1,1,8.0,17.0,19215
1000005,P00274942,M,26-35,20,A,1,1,8,,,7871
1000006,P00231342,F,51-55,9,A,1,0,5,8.0,14.0,5378
1000007,P00036842,M,36-45,1,B,1,1,1,14.0,16.0,11788
1000008,P00249542,M,26-35,12,C,4+,1,1,5.0,15.0,19614
1000009,P00135742,M,26-35,17,C,0,0,6,8.0,,16662
1000010,P00085942,F,36-45,1,B,4+,1,2,4.0,8.0,16352
1000011,P00192642,F,26-35,1,C,1,0,8,17.0,,6171
1000012,P00304242,M,26-35,12,C,2,0,1,6.0,,15246
1000013,P00129542,M,46-50,1,C,3,1,8,14.0,,5839
1000014,P00276642,M,36-45,0,C,0,0,8,11.0,,5848
1000015,P00334242,M,26-35,7,A,1,0,1,8.0,,19653
1000016,P00244242,F,36-45,0,C,0,1,1,2.0,15.0,11755
1000017,P00019342,M,51-55,1,C,0,0,1,6.0,15.0,15872
1000018,P00366542,F,18-25,3,B,3,0,5,,,1780
1000019,P00112542,M,0-17,10,A,3,0,1,11.0,15.0,7746
1000021,P00220242,M,18-25,16,B,0,0,3,12.0,,3055
1000022,P00351142,M,18-25,15,A,4+,0,1,8.0,17.0,12099
1000023,P00278942,M,36-45,0,B,3,1,1,2.0,3.0,15766
1000024,P00346642,F,26-35,7,A,3,1,8,,,2230
1000025,P00206442,M,18-25,4,C,4+,0,1,5.0,9.0,15361
1000026,P00043242,M,26-35,7,B,2,1,5,,,1848
1000027,P00281742,M,26-35,11,C,1,1,5,8.0,18.0,8696
1000028,P00084442,F,26-35,1,C,2,1,13,16.0,,758
1000029,P00233542,M,36-45,7,C,1,0,1,15.0,,19068
1000030,P00051442,F,36-45,7,C,3,0,8,17.0,,9735
1000031,P00117442,M,55+,7,C,2,0,5,14.0,,8596
1000032,P00332342,F,26-35,0,C,3,1,5,8.0,,7134
1000033,P00285442,M,46-50,3,A,1,1,8,,,7854
1000034,P00192942,F,18-25,0,A,0,0,5,,,6996
1000035,P00102542,M,46-50,1,C,4+,1,8,,,6109
1000036,P00102642,M,26-35,3,B,0,0,4,8.0,9.0,2832
1000037,P00085242,F,26-35,9,C,1,0,8,14.0,17.0,8034
1000039,P00279442,M,18-25,4,B,2,0,16,,,12464
1000041,P00235242,F,18-25,4,C,3,0,8,,,5915
1000042,P00046742,M,26-35,8,C,0,1,1,2.0,15.0,19433
1000043,P00255842,M,26-35,12,A,0,0,16,,,20961
1000044,P00112142,M,46-50,17,B,3,1,1,2.0,14.0,19072
1000045,P00066442,F,46-50,16,A,1,1,5,14.0,,6950
1000046,P00123142,M,18-25,19,C,4+,0,11,,,7614
1000047,P00031042,M,18-25,4,C,4+,1,8,,,8043
1000048,P00055642,M,26-35,4,B,3,1,4,5.0,,1447
1000049,P00051442,M,18-25,12,C,4+,1,8,17.0,,9879
1000050,P00317942,F,26-35,2,A,1,1,8,16.0,,5878
1000051,P00361842,F,0-17,10,C,2,0,15,16.0,,17271
1000052,P00147942,M,18-25,4,C,0,0,1,16.0,,15244
1000053,P00117542,M,26-35,0,B,1,0,18,,,3794
1000054,P00299842,M,51-55,1,C,4+,1,8,,,6198
1000056,P00102442,M,36-45,20,C,0,1,8,,,5980
1000057,P00171542,M,18-25,19,C,2,0,2,5.0,14.0,3581
1000058,P00110742,M,26-35,2,B,3,0,1,2.0,8.0,15824
1000059,P00114742,F,51-55,1,B,4+,1,8,,,5899
1000060,P00150542,M,51-55,1,C,1,1,5,,,2048
1000061,P00334242,M,26-35,17,C,1,0,1,8.0,,15365
1000062,P00013742,F,36-45,3,A,1,0,5,,,5234
1000063,P00234742,M,18-25,4,C,2,0,8,,,5881
1000064,P00110942,M,18-25,1,A,1,1,1,2.0,,19462
1000065,P00289942,M,36-45,12,C,2,1,3,4.0,5.0,13253
1000066,P00265242,M,26-35,18,C,2,0,5,8.0,,8652
1000067,P00118142,F,51-55,5,C,4+,1,8,17.0,,8088
1000068,P00289742,M,18-25,4,A,0,0,8,,,9938
1000069,P00184942,F,26-35,1,A,1,0,1,8.0,17.0,11715
1000070,P00249142,M,18-25,4,A,2,0,5,,,7076
1000071,P00165442,M,26-35,14,A,0,1,1,15.0,16.0,11846
1000072,P00156442,F,46-50,0,B,1,1,8,,,7968
1000073,P00351142,M,18-25,4,A,4+,0,1,8.0,17.0,15900
1000074,P00351142,M,36-45,14,A,2,1,1,8.0,17.0,15581
1000075,P00248442,F,0-17,10,C,4+,0,3,4.0,,13337
1000076,P00126142,M,36-45,7,B,2,1,8,16.0,,7909
1000077,P00255542,M,18-25,4,C,2,0,5,,,6909
1000078,P0097142,F,46-50,1,C,0,1,12,,,1720
1000079,P00195842,F,46-50,0,A,1,0,3,4.0,8.0,7962
1000080,P00157542,M,55+,1,C,3,1,8,14.0,,9788
1000081,P00344242,F,26-35,0,A,1,1,8,10.0,,10058
1000082,P00015542,M,26-35,17,C,2,1,1,2.0,13.0,8162
1000083,P00105142,F,26-35,2,C,1,0,1,2.0,15.0,15584
1000084,P00034742,M,18-25,4,C,1,0,5,14.0,17.0,5315
1000085,P00027142,M,18-25,4,C,1,0,8,,,5986
1000086,P00145042,F,0-17,10,C,3,0,1,2.0,5.0,19283
1000087,P00173342,M,26-35,14,C,2,0,1,6.0,14.0,4121
1000088,P00010842,F,46-50,1,C,1,1,8,16.0,,10022
1000089,P00223942,F,55+,9,C,1,1,5,8.0,,8804
1000090,P00027542,M,55+,13,C,1,0,8,,,6122
1000091,P00010842,M,36-45,7,C,3,1,8,16.0,,6013
1000092,P00317942,F,18-25,4,B,1,0,8,16.0,,7884
1000093,P00199442,M,26-35,17,B,1,1,5,9.0,,7038
1000094,P00117042,M,26-35,17,C,1,0,1,2.0,5.0,15482
1000095,P00141942,M,46-50,0,C,4+,1,5,8.0,14.0,3746
1000096,P00117942,F,26-35,16,C,2,1,5,15.0,,7193
1000097,P00209842,F,36-45,3,C,3,0,5,8.0,,7040
1000099,P00317842,F,0-17,10,C,1,0,8,,,5935
1000100,P00057942,M,36-45,17,C,4+,0,1,2.0,6.0,11612
1000101,P00278042,F,18-25,3,A,1,0,1,,,19464
1000102,P00010842,M,36-45,19,C,3,0,8,16.0,,9941
1000103,P00071242,M,46-50,7,B,2,1,1,15.0,16.0,15827
1000105,P00269542,M,46-50,12,C,1,1,11,15.0,,6073
1000106,P00205442,F,36-45,11,C,4+,0,5,8.0,14.0,7035
1000107,P00323742,M,46-50,18,C,4+,0,8,,,9753
1000108,P00013942,M,26-35,12,C,3,0,5,,,2021
1000109,P00087042,M,46-50,15,C,1,1,10,14.0,16.0,19131
1000110,P00035842,M,26-35,2,B,4+,0,5,6.0,9.0,6923
1000111,P00036842,M,36-45,15,C,3,0,1,14.0,16.0,15351
1000112,P00289942,M,26-35,16,C,3,1,3,4.0,5.0,13575
1000113,P00351142,M,18-25,12,C,2,0,1,8.0,17.0,19697
1000114,P00350942,F,26-35,2,C,0,0,3,4.0,5.0,10930
1000116,P00275842,M,26-35,17,C,2,1,2,9.0,15.0,16171
1000117,P00351342,M,26-35,17,A,2,1,1,2.0,16.0,8337
1000118,P00194542,M,36-45,17,C,4+,0,8,14.0,,8081
1000119,P00330642,F,0-17,10,C,1,0,5,,,5277
1000120,P00005042,M,26-35,11,C,0,0,6,16.0,,16128
1000121,P00102042,M,36-45,7,C,2,0,5,,,3627
1000122,P00142142,F,18-25,4,C,1,0,1,2.0,15.0,4530
1000123,P00248142,M,36-45,9,B,4+,1,5,,,3639
1000124,P00291042,M,55+,7,C,1,1,8,,,7904
1000125,P00244642,M,46-50,14,B,3,1,11,,,4497
1000126,P00087042,M,18-25,9,B,1,0,10,14.0,16.0,23233
1000127,P00145042,F,46-50,3,C,1,1,1,2.0,5.0,19681
1000128,P00245642,M,55+,6,A,1,1,5,11.0,12.0,8629
1000129,P00037542,M,26-35,11,C,2,0,1,,,15383
1000130,P00350442,M,36-45,17,B,3,1,2,3.0,15.0,3688
1000131,P00170642,M,18-25,4,C,4+,0,5,8.0,,6886
1000132,P00100842,M,26-35,17,C,1,0,5,,,8709
1000133,P00012542,F,26-35,0,C,1,1,5,14.0,,6954
1000134,P00218642,M,26-35,0,C,3,1,5,,,3622
1000135,P00295942,M,18-25,4,C,1,1,2,5.0,15.0,16241
1000136,P0099042,M,18-25,2,B,3,0,5,12.0,14.0,8850
1000137,P00250842,F,46-50,6,C,4+,1,8,,,8126
1000138,P00113242,M,18-25,20,C,1,1,1,6.0,8.0,19391
1000139,P00329542,F,26-35,20,C,2,0,1,15.0,16.0,7773
1000140,P00062842,F,36-45,1,B,3,0,1,2.0,13.0,3843
1000142,P00192042,M,26-35,7,A,2,0,5,9.0,14.0,5267
1000143,P00250242,M,18-25,3,C,0,0,5,,,7170
1000145,P00250342,M,18-25,4,C,4+,0,16,,,16772
1000146,P00248942,F,36-45,20,B,3,1,1,6.0,14.0,15659
1000147,P00184942,M,18-25,4,B,4+,0,1,8.0,17.0,19474
1000148,P00184942,M,51-55,17,B,3,1,1,8.0,17.0,19031
1000149,P00109242,M,26-35,1,B,2,1,6,8.0,10.0,15969
1000150,P00294542,M,36-45,7,B,0,1,8,,,5865
1000151,P00112142,F,26-35,20,A,1,1,1,2.0,14.0,12063
1000152,P00159942,M,18-25,4,A,3,0,5,,,8744
1000153,P00031642,M,0-17,10,C,0,0,5,,,8588
1000154,P00214242,M,51-55,20,A,4+,1,1,16.0,,7821
1000155,P00205642,M,36-45,12,C,4+,1,5,8.0,,6967
1000156,P00304842,F,46-50,7,C,4+,1,8,,,9872
1000157,P00140042,M,36-45,16,A,1,0,1,16.0,,15544
1000158,P00347242,M,55+,7,C,2,1,8,,,9703
1000159,P00277642,F,46-50,0,A,1,1,2,3.0,10.0,12828
1000160,P00198042,M,36-45,7,C,3,0,11,16.0,,4681
1000161,P00086042,M,46-50,16,C,4+,1,8,14.0,17.0,8108
1000162,P00004842,F,18-25,4,C,4+,0,3,4.0,12.0,5711
1000163,P00014742,M,18-25,4,A,1,0,11,,,1534
1000165,P00110942,M,18-25,16,A,1,0,1,2.0,,11516
1000166,P00184942,M,18-25,4,B,1,1,1,8.0,17.0,12006
1000169,P00288042,M,26-35,7,B,3,0,8,,,7999
1000170,P00111142,M,26-35,11,C,1,1,1,15.0,16.0,19696
1000171,P00100442,F,51-55,17,B,1,1,2,4.0,5.0,16018
1000172,P00346542,M,26-35,3,C,2,0,10,13.0,16.0,14070
1000173,P00084642,M,26-35,0,B,1,1,13,16.0,,759
1000174,P00062842,M,26-35,16,C,2,0,1,2.0,13.0,15828
1000175,P00302742,F,26-35,2,B,1,0,8,,,9805
1000176,P00282842,F,18-25,3,C,1,0,5,,,5202
1000177,P00112142,M,51-55,1,B,3,1,1,2.0,14.0,19108
1000178,P00102542,M,55+,17,A,2,1,8,,,7900
1000179,P00253042,M,26-35,0,A,1,0,8,,,6147
1000180,P00317842,M,46-50,12,C,4+,0,8,,,6086
1000181,P00274942,M,18-25,17,C,1,0,8,,,9820
1000182,P00370242,M,18-25,4,C,0,0,5,,,8576
1000183,P00100142,F,46-50,1,B,1,1,10,16.0,,14334
1000184,P00068042,F,26-35,0,C,4+,1,3,4.0,,7954
1000185,P00182742,M,46-50,0,C,0,0,1,2.0,14.0,15327
1000186,P00111142,M,18-25,5,C,0,0,1,15.0,16.0,19452
1000187,P00317942,F,46-50,1,B,1,0,8,16.0,,8127
1000188,P00255842,M,55+,16,C,2,0,16,,,12379
1000190,P00238442,M,26-35,17,A,1,0,6,,,12235
1000191,P00158542,M,18-25,4,C,1,1,5,6.0,13.0,8861
1000192,P00208742,M,18-25,1,B,2,0,1,6.0,16.0,12001
1000193,P00092242,F,46-50,15,C,1,1,5,8.0,,5311
1000194,P00085242,F,0-17,10,C,3,0,8,14.0,17.0,8104
1000195,P00031042,M,26-35,12,B,4+,1,8,,,9761
1000196,P00110542,F,36-45,9,C,4+,0,8,,,8072
1000197,P0099342,M,18-25,14,A,3,0,5,8.0,,7041
1000198,P00046742,M,26-35,12,A,0,1,1,2.0,15.0,15165
1000199,P00118142,M,18-25,4,B,1,0,8,17.0,,6134
1000200,P00240142,F,18-25,4,C,0,0,5,,,5208
1000201,P00051442,F,36-45,2,A,1,0,8,17.0,,9891
1000202,P00117442,M,18-25,4,A,3,0,5,14.0,,7013
1000203,P00297042,F,18-25,4,B,1,1,8,,,4104
1000204,P00370242,M,26-35,7,B,1,1,5,,,8781
